,x,y,xG,team,shot_type,result
0,0.9059999847412109,0.5059999847412109,0.08299946784973145,Manchester United,RightFoot,MissedShots
1,0.9219999694824219,0.5509999847412109,0.05829080566763878,Manchester United,Head,SavedShot
2,0.7609999847412109,0.37799999237060544,0.020153135061264038,Manchester United,LeftFoot,SavedShot
3,0.870999984741211,0.6890000152587891,0.03267781808972359,Manchester United,RightFoot,MissedShots
4,0.874000015258789,0.41700000762939454,0.04440997168421745,Manchester United,LeftFoot,BlockedShot
5,0.97,0.6569999694824219,0.2878882586956024,Manchester United,RightFoot,SavedShot
6,0.845,0.4259999847412109,0.05123169347643852,Manchester United,LeftFoot,MissedShots
7,0.8719999694824219,0.5329999923706055,0.377051442861557,Manchester United,RightFoot,Goal
8,0.9169999694824219,0.3390000152587891,0.1196349486708641,Manchester United,RightFoot,BlockedShot
9,0.860999984741211,0.7530000305175781,0.03538583964109421,Manchester United,RightFoot,SavedShot
10,0.860999984741211,0.385,0.050538163632154465,Manchester United,LeftFoot,Goal
11,0.73,0.6270000076293946,0.015925271436572075,Manchester United,RightFoot,SavedShot
12,0.8059999847412109,0.2929999923706055,0.017661210149526596,Manchester United,LeftFoot,MissedShots
13,0.94,0.44,0.04980175942182541,Manchester United,Head,MissedShots
14,0.855,0.40099998474121096,0.09129500389099121,Manchester United,RightFoot,Goal
15,0.9380000305175781,0.32099998474121094,0.06987116485834122,Manchester United,RightFoot,BlockedShot
16,0.914000015258789,0.43200000762939456,0.09224142134189606,Manchester United,LeftFoot,BlockedShot
17,0.9169999694824219,0.509000015258789,0.11826734244823456,Newcastle United,Head,MissedShots
18,0.8390000152587891,0.34599998474121096,0.051561787724494934,Newcastle United,LeftFoot,MissedShots
19,0.8069999694824219,0.720999984741211,0.02189227007329464,Newcastle United,LeftFoot,SavedShot
20,0.7709999847412109,0.5020000076293946,0.026798611506819725,Newcastle United,RightFoot,BlockedShot
21,0.860999984741211,0.6070000076293945,0.05897766724228859,Newcastle United,RightFoot,BlockedShot
22,0.9880000305175781,0.590999984741211,0.13046208024024963,Newcastle United,Head,BlockedShot
23,0.915,0.5679999923706055,0.060775674879550934,Newcastle United,Head,MissedShots
24,0.8340000152587891,0.5129999923706055,0.06974417716264725,Newcastle United,RightFoot,SavedShot
25,0.915,0.600999984741211,0.0910588726401329,Newcastle United,RightFoot,BlockedShot
26,0.8869999694824219,0.61,0.06576435267925262,Newcastle United,RightFoot,MissedShots
27,0.9269999694824219,0.56,0.3801213204860687,Newcastle United,RightFoot,Goal
28,0.875999984741211,0.5629999923706055,0.44655898213386536,Newcastle United,LeftFoot,BlockedShot
29,0.9209999847412109,0.4159999847412109,0.017519263550639153,Newcastle United,Head,BlockedShot
30,0.894000015258789,0.43900001525878907,0.40428808331489563,Newcastle United,RightFoot,SavedShot
31,0.925,0.5409999847412109,0.05114459991455078,Newcastle United,Head,SavedShot
32,0.935,0.46299999237060546,0.11446760594844818,Newcastle United,Head,MissedShots
33,0.9690000152587891,0.6569999694824219,0.08108416944742203,Newcastle United,LeftFoot,MissedShots
34,0.7830000305175782,0.33799999237060546,0.011258204467594624,Newcastle United,RightFoot,MissedShots
35,0.914000015258789,0.44400001525878907,0.04198858141899109,Newcastle United,Head,SavedShot
36,0.7809999847412109,0.34299999237060547,0.018845941871404648,Newcastle United,RightFoot,MissedShots
37,0.7709999847412109,0.5609999847412109,0.019977884367108345,Newcastle United,LeftFoot,Goal
